EntrezID	TCGA-43-6771	TCGA-22-1011	TCGA-21-1070	TCGA-37-3789	TCGA-21-1081	TCGA-21-5782	TCGA-22-4607	TCGA-21-5784	TCGA-21-5786	TCGA-22-5472	TCGA-33-4547	TCGA-34-5232	TCGA-34-5241	TCGA-39-5024	TCGA-39-5028	TCGA-39-5029	TCGA-39-5031	TCGA-56-5897	TCGA-60-2708	TCGA-60-2720	TCGA-60-2721	TCGA-60-2724	TCGA-66-2768	TCGA-66-2773	TCGA-66-2778
31	-0,40211	0,34076	-0,57024	-0,54645	-0,17432	-0,1562	-0,62576	0,31435	-0,22192	0,06029	-0,99044	-0,20225	-0,2144	-0,66261	-0,51727	-0,59922	0,8803	-0,37135	1,14712	-1,5238	-0,51396	0,88028	0,47893	1,41172	0,61814
32	-0,40211	0,34076	-0,57024	-0,54645	-0,17432	-0,1562	-0,62576	0,31435	-0,22192	0,06029	-0,99044	-0,20225	-0,2144	-0,66261	-0,51727	-0,59922	0,8803	-0,37135	1,14712	-1,5238	-0,51396	0,88028	0,47893	1,41172	0,61814
207	-2,45095	-1,22821	0,84979	-1,698	-1,20915	0,89545	-0,4274	-0,51774	-0,71918	-0,31226	-0,58546	-1,46187	-0,17815	-0,42662	0,29984	0,09424	0,32449	-0,01231	1,06878	-0,24417	0,06174	-2,11821	-2,52376	0,24198	-3,10233
84335	-0,60662	-0,18519	0,97572	2,03193	1,03932	-0,16645	0,00143	0,37705	-0,18341	0,20205	0,30623	-0,74949	-0,49568	0,95611	-1,10806	2,01356	-0,03213	1,27769	0,31619	-0,8004	-0,25922	-0,72603	-1,04481	-0,00562	0,81548
208	-2,45095	-1,22821	0,84979	-1,698	-1,20915	0,89545	-0,4274	-0,51774	-0,71918	-0,31226	-0,58546	-1,46187	-0,17815	-0,42662	0,29984	0,09424	0,32449	-0,01231	1,06878	-0,24417	0,06174	-2,11821	-2,52376	0,24198	-3,10233
10000	-2,45095	-1,22821	0,84979	-1,698	-1,20915	0,89545	-0,4274	-0,51774	-0,71918	-0,31226	-0,58546	-1,46187	-0,17815	-0,42662	0,29984	0,09424	0,32449	-0,01231	1,06878	-0,24417	0,06174	-2,11821	-2,52376	0,24198	-3,10233
301	0,13765	0,48758	0,52347	0,19551	-0,34351	-0,02249	0,50208	1,46035	0,4501	0,37487	1,15882	-1,11114	1,50809	1,01272	-0,06969	0,79513	2,28668	0,01302	-0,87241	-1,04627	-0,04545	0,30748	1,76581	-0,01187	0,11566
367	0,08769	-0,6319	0,88449	0,86339	0,70634	1,77602	-1,16709	0,29065	0,43426	1,18154	0,52055	-1,60127	0,40698	0,9611	0,49971	0,02646	-0,83973	1,84505	-2,00278	-0,52379	0,21672	-0,78957	-0,62676	-0,70759	1,21766
8289	-1,46367	1,341	0,92528	-0,36126	0,34395	0,23022	0,01842	-0,07269	-1,25781	0,21334	-0,22261	-1,94804	-1,04471	-0,29512	-0,37803	-0,20732	1,0577	0,00166	-0,27708	-0,09347	0,05728	-0,5593	0,54406	-1,25376	-0,14959
440	0,07939	1,52038	-0,58858	-0,8252	0,46844	-1,28809	0,02485	-1,29182	-0,86093	0,31449	-1,50016	-0,99071	-0,85559	0,12119	-0,66757	-0,12954	-1,04378	0,1059	1,45102	-0,95327	-0,57854	-0,44286	1,46909	-0,42324	-0,06256
472	-1,76419	-1,89676	0,28419	-1,33159	-0,55867	0,57204	-1,07723	-0,3275	-0,75948	0,31901	-0,71767	-2,52265	-0,30024	0,16837	-0,4652	-0,15256	-0,21402	0,92493	-1,06001	0,14758	-0,06771	-1,07976	-2,55924	0,30943	-2,02477
572	-0,15024	-1,8084	0,97941	1,11343	0,02876	-0,34757	1,22991	-0,61961	0,08605	-0,47991	0,58516	1,54658	-0,52824	0,42846	-1,8897	0,04733	-0,95465	0,58676	-0,26518	0,27807	0,3865	-2,43764	-0,72155	0,42664	0,95791
578	0,38921	0,33953	1,5519	-0,48453	-0,06123	0,67767	-0,88078	-1,32163	0,81315	0,18514	-0,18614	6,8833	1,50311	0,23927	0,74672	0,29596	1,06703	0,31538	-1,38253	0,35242	-0,14028	-0,16396	-0,48369	-0,44282	1,18457
581	1,51531	1,33463	-0,24777	1,57966	0,06011	-0,00835	0,87292	1,99404	-0,37409	0,58673	0,70478	2,41818	0,20721	0,87698	0,16906	0,4458	0,2364	-0,2731	1,42746	0,02292	-0,29602	2,10867	2,10599	0,61855	2,337
596	-0,32662	-0,24264	-0,34787	0,23152	-0,00605	1,37618	-0,60143	-0,35901	-0,31331	1,17264	-0,34787	0,10362	0,91985	-0,50265	-0,2319	1,20845	-1,18915	-0,1999	0,08247	0,25703	0,31873	-0,53142	-0,38479	-0,42197	0,56436
598	0,97869	-0,67857	-0,10819	0,8078	0,78978	0,19513	1,7094	1,3678	1,1043	0,46145	2,26048	0,16487	1,46769	0,8078	0,77375	0,05143	-0,31461	-0,15937	-0,21365	0,61607	0,73315	0,43843	1,49133	1,17681	2,40598
10018	-0,48383	0,55842	-0,59932	-0,55239	0,33395	0,05425	0,01672	-0,67419	-1,00656	0,3232	-0,57329	-0,37148	0,69655	-0,08692	0,18014	0,02361	-1,48376	-0,19894	-0,11423	0,13752	0,684	-0,90834	-0,26404	0,71048	-0,05915
8678	-0,35011	-0,40024	-0,14799	0,00851	0,28547	3,38381	-2,18027	0,20037	0,32418	0,44858	-0,67857	-0,89115	0,30525	-0,09752	-0,75225	0,69164	0,14079	-0,07258	-1,11551	0,28941	0,64081	-0,7479	1,33054	0,12754	0,50631
637	2,39165	1,43843	1,19726	0,78498	0,69336	2,73769	-1,1082	-0,28975	1,28734	0,79265	0,02152	-0,82557	1,04736	0,75075	1,76528	-0,23796	-0,70377	1,61314	-0,07146	0,1121	1,1155	-0,26894	-0,2872	0,89993	2,38176
329	-0,25431	-0,32623	-0,15256	-0,41804	-0,47479	0,00203	-1,40733	0,61367	0,25724	0,09413	-0,9028	-2,59564	-0,64834	-0,33433	-0,10045	-1,28158	0,539	-0,07381	2,31558	0,49277	-0,00203	0,73701	0,36804	0,59206	-0,50958
57103	0,4208	-0,44373	-0,12232	-0,61185	0,55839	0,49798	-0,62782	1,39163	-0,3961	0,34995	0,28974	-0,86578	1,03398	0,34482	-0,38902	0,24861	0,60182	-0,16131	1,65445	-0,05167	-0,21749	-0,05152	0,54435	0,86414	0,91206
836	2,93203	1,86529	-0,06197	0,58672	0,55731	-0,19711	-0,29136	0,59505	3,15243	0,38514	0,41827	-1,19142	1,52786	0,13065	-0,47804	0,89794	-0,25677	0,74621	-2,09014	-0,46613	-0,20649	0,54849	1,59431	-0,4236	2,68183
840	2,53482	-0,23251	0,04834	-0,51539	-0,02947	-0,73012	-1,29738	-0,48953	-0,19596	0,70508	-1,08891	-1,22144	1,38399	-0,00717	0,70249	-0,88759	0,23347	-0,83576	-0,89524	0,31671	0,07894	-0,76896	1,48391	0,92514	0,16743
841	-0,36377	0,67222	-0,0424	1,23764	-0,80698	-0,08773	0,10298	1,70853	-0,06086	0,40234	-0,21481	0,13539	0,30557	-0,18001	-0,22386	-0,00206	0,15176	0,29223	0,70981	-0,37884	-0,2021	-0,52431	1,47444	0,60475	-0,16459
842	1,4456	-0,52544	0,84902	0,73815	1,21266	2,34809	-0,84966	0,41279	0,93842	0,84318	0,27835	-0,62009	1,14717	0,69066	0,89656	-0,80419	-1,45603	2,00486	-3,07151	0,57837	0,63696	-0,82796	0,30846	-0,45152	1,99211
857	-0,35458	0,48254	0,08269	1,2872	-0,38692	2,96807	-1,58343	2,56428	0,5938	-0,71036	1,96054	1,02187	-0,47212	1,28083	-0,01469	1,0283	-0,40801	-0,02884	0,4064	0,74328	-0,3841	1,16132	0,77695	0,33123	-0,15598
891	0,37657	0,98774	-0,77534	-1,37338	-0,1747	-2,63842	-0,05758	-0,49145	-0,9843	0,28371	-1,84331	-0,27532	-1,15271	-1,67113	-0,32877	-0,40094	0,06968	-0,97181	0,3919	0,31689	-0,8041	-0,4335	0,57347	0,58908	0,17082
595	0,32	-0,83897	1,99417	0,18146	0,88977	1,10313	-0,64762	0,84972	0,22722	1,15383	-0,48333	-3,60966	0,84475	-0,03608	-0,10902	-0,30914	-0,12256	1,42881	-0,57016	0,06418	-0,24021	-0,18666	1,14641	-0,31035	2,17153
898	5,31152	3,26475	-0,08119	-0,42496	0,81625	-1,04718	2,30947	-0,47879	-0,13011	0,00814	0,05403	-0,05144	-0,48538	-0,08662	0,21151	-0,25346	0,63778	-0,66767	-0,96104	0,89201	-0,52954	0,85812	0,80852	0,52184	0,64516
9134	1,48461	2,93116	0,17493	-0,05675	0,11336	0,17932	0,91124	0,54803	0,86717	-0,09673	0,17437	1,77102	0,84475	0,14079	-0,1349	0,07328	-0,71093	0,09404	-0,53322	0,07537	-0,09133	-0,42647	0,31778	-0,16723	1,73841
3673	1,87936	0,26139	-0,35682	0,15829	-0,29873	-0,95764	1,97262	0,98544	0,79367	0,54137	1,13934	0,47684	-0,09712	-0,54379	-0,21068	0,40862	0,57764	-0,49897	0,03856	1,70283	0,71932	1,79312	2,73269	1,31708	1,41386
999	-1,33297	-0,34433	0,18871	0,65734	-0,15924	-0,62132	0,95763	1,33705	-0,38032	0,03371	0,26369	2,65142	0,63419	-0,85405	0,18397	0,86907	0,03899	-1,18579	1,04219	-0,74788	1,18096	-0,68209	-2,16048	-0,29522	-2,95134
1000	1,69115	-0,03619	0,6224	0,70548	1,49193	1,67705	-0,62493	0,30237	0,63956	1,28079	-0,23275	-1,66772	0,74724	1,42188	1,14536	-0,15783	-1,10767	1,89274	-2,01228	-0,14962	1,41354	-0,19451	-0,03296	-0,23692	2,7368
1001	2,51011	0,2297	0,76525	0,86571	0,01921	0,76571	-1,19305	-2,44676	1,8161	-0,7642	-0,3925	1,35791	1,31707	-0,47793	-0,45392	-0,21677	0,73268	0,06047	-0,81155	1,32614	0,58934	-1,80439	0,24976	0,33938	-0,73595
983	0,10125	-0,81584	0,27431	1,81625	0,71103	0,39795	-0,81491	0,75702	0,05156	0,65107	1,22142	-0,83571	0,14294	1,22481	-0,80246	0,47281	0,40834	0,55762	-2,77269	-0,15416	-0,5828	-0,92749	-0,21205	-0,27081	0,69802
1026	1,65816	2,08453	1,85599	0,06908	0,81186	-0,42605	2,0665	0,69096	0,65958	-0,392	-0,24731	1,12728	0,45344	1,43736	0,5044	0,99728	1,17565	1,65848	1,98103	-0,01428	1,11374	3,49728	1,26874	-0,21447	0,56091
1027	0,14031	-0,78732	0,5497	1,21727	0,96348	1,28432	0,57133	1,1629	-0,02768	1,50963	0,9287	-1,6422	-0,46962	0,74136	-0,83439	0,02681	-1,54843	1,20057	-2,51661	0,02144	-0,161	-1,57954	-1,34231	0,0696	2,05078
1111	3,11151	0,61933	0,65747	1,08029	1,14502	0,60594	-0,01759	1,2183	1,40557	0,85951	0,22636	2,09348	0,86341	1,27691	0,45734	-0,0543	0,59164	1,62949	-0,79551	-0,04741	0,50074	3,06491	3,07856	-0,08515	3,77215
11200	0,18661	-0,58787	-1,05659	-0,7038	-1,39464	-0,96692	0,69929	-0,73733	-0,33102	-0,19209	-1,22322	-0,06509	-0,48977	-1,09251	-2,11924	-0,25679	-1,50314	-1,34528	4,49535	0,00214	0,71745	0,08702	0,53574	1,02157	0,30587
1366	1,37281	1,37589	-0,72752	0,57909	-1,41419	-0,19115	3,11843	2,43946	0,2847	1,20894	0,91222	1,16196	0,30801	0,19292	-0,4771	0,41885	-0,90981	-0,91708	-0,09011	-0,49086	0,26543	1,70846	0,54835	0,16017	0,93008
1291	0,32425	-0,36434	-0,11687	0,56237	-0,46492	2,1724	0,26807	0,8539	1,42123	-0,09268	1,21002	3,7161	0,99253	0,18339	0,06994	0,19424	-0,32148	-0,33104	-0,37781	0,05351	-0,22003	-0,25653	0,35434	-0,36429	1,35275
1495	0,72482	0,61765	-0,06777	-0,80958	-0,91123	0,27016	0,63659	0,10952	-0,12032	0,33739	0,17515	2,19013	0,64306	-0,69953	-0,22663	0,72427	2,08315	-0,47422	2,03213	0,67979	2,79772	-0,58604	0,27902	0,6611	-0,73577
1499	-2,14584	-0,36368	0,25967	-0,55043	-0,62681	0,03247	0,49524	0,42966	-0,95876	-1,12477	0,03188	-2,04744	-0,41992	-0,99928	0,25195	0,71803	0,52918	-0,55937	1,07257	0,12018	1,19637	-0,83658	-2,31059	0,32075	-3,60242
56616	0,88283	-0,00099	-1,06938	1,22659	0,95757	-0,71067	1,18786	1,55214	-0,57185	-0,17143	0,05912	3,27285	0,29391	0,41653	0,57525	-0,59269	-0,86185	-0,98256	2,55758	-0,65144	1,05817	3,41525	0,51975	-0,33164	2,18424
1857	-1,12139	0,96039	1,61274	1,03262	0,80037	-1,35631	0,39605	0,06194	-0,45981	0,80037	-1,06774	0,97561	-0,77189	0,07673	0,536	-0,2652	1,10514	0,99002	0,80037	-0,00572	-0,33994	1,88878	1,45565	0,16965	-0,90581
1938	-1,09886	0,12393	0,11442	-2,03112	-0,13848	-0,69502	-1,56748	-1,91463	-0,08272	-0,16826	-1,50721	-0,21487	0,17123	-0,77952	-0,90492	-0,26647	1,13	-0,06488	3,82105	0,79814	0,25185	-1,39086	0,69684	1,33969	-0,60568
29904	-2,52412	-0,53464	0,12669	0,01538	-0,59096	-0,05138	-1,75938	-0,24126	0,1712	-0,35839	-0,85195	-0,15374	1,00406	0,85712	0,42887	0,33883	-0,12635	0,48849	-1,40784	-0,47772	-1,60304	-1,22844	-2,20809	-0,78374	-1,85326
1956	0,65681	0,44643	0,38759	0,48398	0,02822	-0,02084	0,46074	1,28691	9,00E-04	0,33143	0,35209	1,19353	2,39263	0,06994	-0,23798	0,10038	0,78253	0,13945	-0,78009	-0,06891	0,05286	-0,06551	0,267	-0,65386	0,59802
1977	0,35312	0,86296	1,36884	1,35201	1,00721	0,02234	0,29534	0,37553	0,40849	2,18399	-0,35974	-1,47199	-0,61655	0,7861	0,46187	-0,09246	-0,38366	1,19803	-1,24465	-0,25228	1,82561	1,00209	1,61802	0,29607	1,42668
1978	-0,00087	0,54599	0,24352	2,15623	0,31447	-1,14635	1,1082	0,42039	1,10396	0,63371	-0,04895	1,98307	-0,4826	-0,35883	1,63854	-0,56659	0,80522	-0,15972	1,97743	-0,26891	3,14751	4,48634	1,77602	0,56993	1,9727
2064	-1,09391	-0,27865	-0,07055	-0,60119	-0,33695	0,63645	-0,19259	-0,47475	0,10272	-0,49639	-0,75405	-0,24578	-0,21104	-0,11417	-0,62356	-0,34272	0,11711	-0,35984	2,05265	-0,302	-0,13328	-1,13051	0,47852	-0,10492	-0,53054
2065	-0,74427	-1,35752	-0,82857	-0,38391	-0,74623	0,14715	0,35762	0,06115	-0,28975	0,26815	0,87784	-0,19626	0,68126	-0,23709	-0,61968	1,19061	-0,16423	-0,65162	-1,43836	0,81966	-0,92572	-1,44577	0,55209	-1,12989	0,3625
2067	0,43189	0,69582	-0,13691	1,53353	0,02378	0,13373	0,13087	1,71002	0,42047	-0,59277	-0,43392	0,9289	-0,00293	-0,23703	-0,6371	-0,95178	-0,99081	0,04144	-0,44944	-0,36696	-0,24634	-0,08969	0,79302	-0,54149	1,18758
54206	0,82739	-0,36009	0,07726	0,52488	0,21325	-0,20341	0,23118	0,34773	-0,25225	-0,17521	0,13453	-0,22214	0,40218	0,01255	-0,95245	-0,75813	0,25044	0,33909	-3,16792	1,60903	-0,59258	-0,17851	2,9841	-0,66144	1,70988
2099	0,65451	-0,34931	0,34261	1,12616	0,61634	1,36443	-0,70864	0,14261	0,2623	0,78318	0,18413	-1,0409	0,59894	0,54713	0,21473	0,09707	-0,8368	1,19961	0,20346	-0,25778	0,39567	-0,37875	-0,54639	0,49354	1,45861
2335	0,03419	1,40877	0,84406	-0,71594	0,50076	-0,82503	0,46775	-0,15575	2,48069	-1,02217	-0,60531	1,94677	0,92401	0,17806	0,4486	-0,51723	0,4645	0,36632	0,91696	0,74932	0,12465	1,45645	-0,55398	-0,00485	0,59876
2309	0,48696	0,00344	0,29002	1,00615	0,61052	0,73338	-0,50056	0,23178	0,04628	1,27573	0,87966	-0,59027	0,7342	0,75101	0,31523	0,04653	0,46087	0,77543	-3,44162	0,27438	0,29376	-0,26457	0,12747	-0,60552	2,68861
9846	-2,09591	-1,17883	0,34097	-0,48601	-0,92815	0,34221	-0,30011	0,43291	-0,26563	-0,43738	-0,01822	-0,61341	-0,62044	0,01984	-0,55095	0,17584	-0,41987	0,8499	-0,08198	-0,37888	-1,14082	-2,12969	-2,40513	-0,08543	-1,41472
2625	-0,36063	0,40053	-0,31212	-0,56049	-0,62652	0,94887	0,21365	0,37282	0,40013	-0,28493	-0,42158	-2,13523	0,59244	-0,34278	0,0163	-0,6396	-0,99088	0,54411	1,97165	0,47897	0,25793	-0,06742	1,00003	0,04824	0,6214
2931	-0,35298	1,69148	-0,11947	-0,14139	-0,334	-0,26251	-0,12981	-0,41751	-0,19091	0,38753	-0,62646	-0,69066	0,61292	-0,19532	0,01195	0,50862	0,30441	0,3124	1,8822	0,56294	1,4912	-0,22908	-0,31979	1,52375	-2,08921
2932	-0,35298	1,69148	-0,11947	-0,14139	-0,334	-0,26251	-0,12981	-0,41751	-0,19091	0,38753	-0,62646	-0,69066	0,61292	-0,19532	0,01195	0,50862	0,30441	0,3124	1,8822	0,56294	1,4912	-0,22908	-0,31979	1,52375	-2,08921
3303	1,28202	0,10754	-0,35756	-0,37549	0,58146	1,78919	-0,17951	0,4057	0,54901	1,03105	-0,59032	-0,664	1,4288	1,32841	0,48533	-0,6839	-0,71562	0,46478	-0,23635	0,0969	1,84307	-0,13214	-0,62438	-0,571	1,83704
3480	-0,23429	-0,30171	-0,0673	-1,12256	0,13659	-1,07429	1,63048	-0,55732	1,10172	-0,46701	-0,50095	0,22998	-0,63007	-0,2394	0,23774	1,03859	0,27592	-0,1901	1,27533	-0,37031	-0,44177	0,86393	0,65687	-0,20112	-1,87272
3485	-0,63598	0,952	1,87805	0,03019	0,50665	-1,1508	-0,26617	-0,74401	1,91671	0,34195	0,10801	0,29914	-0,87427	-0,085	0,01986	0,60913	-2,14217	-0,82585	1,25339	0,52112	0,85512	1,14132	-0,44342	-1,05762	0,24483
8821	-0,6262	-0,70505	-0,36317	0,11287	-0,59753	1,32641	1,97654	0,00373	0,68023	-0,36713	1,18258	0,32084	0,69134	0,54871	1,74837	-0,53361	0,08255	0,97403	-0,27245	-0,21095	0,02257	-0,6527	0,07211	1,86257	-0,18816
3667	1,03728	-0,25877	1,01371	0,53592	1,12469	1,12487	-1,44111	0,04928	0,83973	0,99393	0,05718	-1,46673	0,55979	0,79232	0,61586	-0,0849	1,03516	1,83316	-1,65686	-0,24659	-0,2272	-0,51173	0,62438	-0,25312	2,55817
3725	-1,12838	-1,37265	1,16128	0,52982	0,99356	-0,13356	0,66031	0,11497	-1,12498	0,8191	1,01688	0,75122	-0,47748	0,22771	-1,57707	1,3347	-0,04312	0,41564	-2,12494	0,06833	-0,72182	-1,03834	-1,63394	-0,25136	-0,14403
3791	-1,08848	1,04065	0,85812	0,10587	-0,60047	0,31783	-0,26454	0,13462	0,07028	-1,14101	1,12864	0,82718	-1,54389	0,35487	-0,16216	-1,30899	3,00953	0,05599	1,49688	1,1043	-0,73145	-0,14475	-0,64871	-0,06954	0,55025
3815	-0,33917	-0,93797	0,60521	0,37655	-0,17907	0,86219	0,89607	0,55884	0,74897	-0,20972	1,08566	-0,5913	-0,0531	0,46805	-0,25586	0,42829	-1,21516	0,60481	0,64296	-0,41308	0,24391	0,03558	-0,04052	-0,19252	0,892
3845	1,51321	0,19964	0,20708	0,92548	1,04211	0,77504	-1,12336	0,03123	-0,44012	0,21967	0,0325	-1,42556	1,00819	0,30208	-0,68911	-0,716	-0,13687	0,98164	-3,13263	-0,06506	0,60293	0,41093	1,1627	-0,4365	3,14465
3932	0,31963	-1,00026	0,51556	0,22131	-0,78723	1,79816	-0,12928	-0,29535	-0,01927	1,85812	0,08146	1,66737	0,71279	-0,29741	0,01927	0,06294	-0,53261	0,49859	-1,79972	0,96831	1,14588	-2,30187	-0,59568	2,19729	0,29614
5604	0,15136	-0,33084	0,89308	-1,4951	0,40619	0,36766	1,19501	-0,01832	-0,41624	1,21002	0,84592	0,35226	-1,08014	-0,01022	-0,11455	0,47326	1,10009	0,34781	-2,05186	-0,35161	0,48745	0,74989	1,73919	-0,52772	0,9187
5594	0,65432	-1,19705	0,77248	1,73469	0,73664	0,42765	0,09775	0,39151	0,53956	-0,10728	2,47046	-0,35637	0,25065	1,03724	-1,43819	0,88173	-1,04246	1,53692	-1,63781	-0,89859	0,02733	-1,17432	-0,52391	0,74045	0,86582
1432	1,4449	-1,13382	0,03374	1,24792	0,42372	0,42845	0,66924	1,66251	0,608	0,72699	0,15232	-1,30414	1,02815	0,20188	-1,15939	0,49877	0,67848	0,866	-1,32051	-0,39501	1,18749	0,23003	1,70524	0,22017	0,05186
5595	0,65432	-1,19705	0,77248	1,73469	0,73664	0,42765	0,09775	0,39151	0,53956	-0,10728	2,47046	-0,35637	0,25065	1,03724	-1,43819	0,88173	-1,04246	1,53692	-1,63781	-0,89859	0,02733	-1,17432	-0,52391	0,74045	0,86582
5599	0,1933	-0,50328	1,16321	0,60825	0,89885	1,59053	0,14099	0,04763	0,57941	0,57652	1,6862	0,35136	0,63158	0,40125	-0,70891	0,53753	-1,50618	0,87163	-2,58787	-0,4735	0,30588	-0,75262	0,37679	0,02182	1,6736
5601	-0,55463	-0,1921	0,30563	-0,80406	-0,53357	1,03741	-0,96228	-0,31145	-0,29282	0,1394	-0,17964	0,12828	-0,31861	-0,71168	-0,49404	-0,30616	0,01161	-0,06132	-1,30192	1,0014	0,03954	-1,03162	0,66804	1,06967	-0,32846
4137	0,37033	0,84622	0,80091	0,71816	2,2824	-0,14982	0,0344	-0,26806	2,26336	0,48607	0,02206	4,6956	-0,26113	-0,24686	-0,69416	1,44062	0,58797	0,29154	0,3804	1,54615	1,83317	1,08392	2,01608	0,04977	0,48243
4233	1,75053	-0,03585	-0,1192	-0,0951	1,14031	0,72376	-1,26289	0,28477	0,76327	0,21888	0,1931	-1,1876	0,66222	0,34085	-0,40502	-1,16355	9,00E-04	1,30271	-1,65287	-0,49789	-0,44343	0,0131	1,22069	-0,74897	2,47372
4361	1,25749	0,30771	1,32302	1,13857	1,15135	1,82012	-0,76798	0,60855	0,5589	1,39165	0,37941	-1,66844	0,60702	0,90227	0,95353	-0,05425	0,1114	1,98116	-1,73638	0,13005	0,40035	0,40773	0,18171	-0,24234	2,4055
931	1,27684	-0,56338	0,8079	0,24636	0,33979	1,58704	-0,29304	1,1545	0,17045	0,1698	0,01663	-3,14573	0,45773	0,52548	-0,91302	-1,29884	-0,24187	1,39392	0,25202	-0,41699	-0,2173	0,23961	1,16422	-0,73216	1,97602
4436	0,37391	0,16826	-0,58848	-1,68873	1,09524	-0,8104	-0,20272	-1,43989	-1,12544	-0,43209	-1,17502	1,26118	-0,42999	-1,68092	-0,53818	1,32673	-0,05961	-1,05175	0,65928	-0,15708	0,07436	-1,54119	-1,19719	0,28581	-1,55657
2956	0,32174	0,55632	-0,59215	-1,29521	1,5124	-1,17191	0,3005	-1,19053	-0,98272	-0,35831	-0,96516	-0,79055	-0,93125	-1,4921	-0,71802	1,58406	-0,35843	-0,98968	1,15395	-0,27903	-0,20204	-0,77141	-1,11471	-0,11978	-1,9015
